season,year,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
Winter,1987,6.266666666666667,146.79999954253435,31.2,14.9,4.118888877249426,-9.1,57.90000019967556,101945.88888888889,4
Autumn,1988,5.087912087912088,347.0000021904707,78.87912087912088,26.2,10.906593428863275,-4,100.10000122338533,101799.23076923077,0
Spring,1988,5.467391304347826,435.8999992534518,149.97826086956522,23.9,10.015217393636703,-4,128.7999991774559,101348.58695652174,0
Summer,1988,5.663043478260869,516.5999978929758,189.83695652173913,29.1,16.22500000829282,6.8,181.40000097453594,101438.36956521739,0
Winter,1988,5.670329670329671,208.1000001579523,37.68131868131868,14.5,6.298901099425096,-2.3,141.79999927431345,101374.72527472528,0
Autumn,1989,5.122222222222222,351.59999995678663,79.71111111111111,26.7,12.514444410800934,-5.6,87.40000035613775,101703.77777777778,0
Spring,1989,5.271739130434782,554.6000007465482,169.06521739130434,29.4,10.722826040309409,-4,132.8999993428588,101410,0
Summer,1989,4.608695652173913,800.4000031724572,239.67391304347825,34.2,18.577173989752065,4.9,127.90000046044588,101768.26086956522,0
Winter,1989,5.688888888888889,186.9999992325902,35.6,15,6.503333314259847,-4.5,185.50000144541264,101781.22222222222,0
Autumn,1990,5.285714285714286,365.900001488626,84.74725274725274,25.6,12.009890076878307,0.8,96.70000074058771,101309.89010989011,0
Spring,1990,4.456521739130435,686.600000679493,188.65217391304347,28.1,11.131521719953287,-1.8,40.699999921023846,102124.13043478261,0
Summer,1990,4.663043478260869,655.0000011846423,214.44565217391303,36.5,18.184782577597577,5.6,73.19999992102385,101700.43478260869,0
Winter,1990,5.877777777777778,199.69999887794256,36.1,17.8,6.894444459345606,-4.6,214.79999874532223,101300.22222222222,0
Autumn,1991,5.285714285714286,329.3000026643276,80.6043956043956,27.5,11.639560463664296,-1.5,121.49999916553497,101387.91208791209,0
Spring,1991,5.793478260869565,399.89999836683273,142.65217391304347,24.6,9.873913054880889,-0.7,87.7999996766448,101771.41304347826,0
